institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
Macalester College,2073,818,1255,1,1,0,146,48,98,49,15,34,123,38,85,1,0,1,1361,562,799,111,41,70,0,0,0,281,113,168,2,1,1,2,2,36,35,37,630,735,27,32,47195,47195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,37,78,0,0,0,15,5,10,2,1,1,3,1,2,0,0,0,76,23,53,7,1,6,0,0,0,12,6,6,76,44,32,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,41,27,14,3,1,2,0,0,0,27,13,14,100,53,47,0,0,0,7,2,5,0,0,0,3,2,1,0,0,0,73,40,33,5,3,2,0,0,0,12,6,6
Machzikei Hadath Rabbinical College,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,0,0,0,0,0,0,0,6,6,0,2,1,1,2,2,100,100,NA,NA,NA,NA,NA,10400,10400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MacMurray College,554,250,304,1,0,1,0,0,0,67,49,18,29,18,11,1,1,0,419,163,256,13,7,6,24,12,12,0,0,0,2,1,1,2,2,78,76,82,NA,NA,17,24,23600,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,14,18,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,25,10,15,0,0,0,3,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madison Media Institute,372,287,85,3,2,1,3,2,1,34,27,7,18,15,3,2,1,1,272,209,63,8,7,1,32,24,8,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16700,16700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management Resources College,708,237,471,0,0,0,0,0,0,37,4,33,666,232,434,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,6,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manhattan Christian College,311,164,147,5,3,2,1,0,1,8,6,2,9,7,2,0,0,0,236,119,117,3,1,2,34,17,17,15,11,4,2,1,1,2,2,59,60,59,NA,NA,17,25,13642,13642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manthano Christian College,32,27,5,1,1,0,0,0,0,21,17,4,1,1,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,5900,5900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maria College of Albany,859,106,753,3,0,3,19,4,15,109,16,93,27,4,23,0,0,0,567,63,504,14,1,13,119,18,101,1,0,1,2,1,1,2,2,35,32,35,NA,NA,NA,NA,12050,12050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marian Court College,277,89,188,0,0,0,5,0,5,16,4,12,45,11,34,0,0,0,95,25,70,0,0,0,116,49,67,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16200,16200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marymount Manhattan College,1858,434,1424,16,3,13,54,14,40,183,39,144,311,74,237,3,0,3,1067,251,816,25,3,22,108,18,90,91,32,59,2,1,1,2,2,74,66,76,450,570,18,25,27636,27636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,8,27,0,0,0,2,0,2,4,1,3,10,2,8,0,0,0,16,4,12,0,0,0,3,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryville College,1213,557,656,9,4,5,14,2,12,135,95,40,34,15,19,2,1,1,951,403,548,32,14,18,6,3,3,30,20,10,2,1,1,2,2,71,69,72,440,540,18,25,31754,31754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,33,2,0,2,1,1,0,3,1,2,1,1,0,0,0,0,44,16,28,1,1,0,0,0,0,1,0,1,13,5,8,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,11,4,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
Mattia College,965,212,753,2,2,0,3,2,1,34,3,31,887,198,689,0,0,0,13,4,9,24,3,21,2,0,2,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayville State University,1081,471,610,19,8,11,2,2,0,70,60,10,51,28,23,5,3,2,867,338,529,32,15,17,6,1,5,29,16,13,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8894,6489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,22,28,0,0,0,0,0,0,2,2,0,3,0,3,1,0,1,39,19,20,2,0,2,0,0,0,3,1,2,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,2,1,1,0,0,0,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
Menlo College,794,469,325,6,1,5,56,27,29,55,36,19,166,89,77,21,12,9,267,166,101,55,28,27,64,41,23,104,69,35,2,1,1,2,2,45,47,43,458,560,18,25,37520,37520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercy College of Health Sciences,774,93,681,2,0,2,21,1,20,36,5,31,19,3,16,0,0,0,685,82,603,3,1,2,8,1,7,0,0,0,2,1,1,2,2,97,67,98,NA,NA,NA,NA,15642,15642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercy College of Ohio,1196,167,1029,2,0,2,19,6,13,97,9,88,49,7,42,1,0,1,959,135,824,29,3,26,40,7,33,0,0,0,2,1,1,2,2,57,67,56,NA,NA,NA,NA,12000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesivta Keser Torah,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,100,100,NA,NA,NA,NA,NA,13400,13400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesivta Torah Vodaath Rabbinical Seminary,344,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,70,70,NA,NA,NA,NA,NA,11010,11010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messenger College,166,130,36,1,1,0,1,1,0,91,85,6,12,9,3,0,0,0,51,27,24,5,3,2,5,4,1,0,0,0,2,1,1,2,2,98,98,100,NA,NA,NA,NA,8756,8756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dade College,66046,27723,38323,47,22,25,655,307,348,10722,4025,6697,44870,18898,25972,41,20,21,4170,1944,2226,226,93,133,1927,860,1067,3388,1554,1834,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,12015,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,149,247,0,0,0,3,1,2,69,22,47,265,96,169,0,0,0,23,14,9,2,0,2,17,7,10,17,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami University-Hamilton,3386,1522,1864,8,2,6,65,31,34,329,151,178,119,51,68,3,1,2,2676,1192,1484,70,30,40,104,57,47,12,7,5,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,14449,5173,107,91,16,1,0,1,5,5,0,8,7,1,9,8,1,0,0,0,78,65,13,5,5,0,1,1,0,0,0,0,123,54,69,1,0,1,6,2,4,13,6,7,1,1,0,0,0,0,96,41,55,2,0,2,3,3,0,1,1,0,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0,0,0,0,0,0,0,37,19,18,0,0,0,1,0,1,2,0,2,0,0,0,2,1,1,26,14,12,2,1,1,3,2,1,1,1,0
Miami University-Middletown,2062,885,1177,6,2,4,33,13,20,118,49,69,53,24,29,0,0,0,1687,699,988,33,17,16,72,38,34,60,43,17,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,14449,5173,48,42,6,0,0,0,1,0,1,2,2,0,1,0,1,0,0,0,38,34,4,1,1,0,0,0,0,5,5,0,64,28,36,0,0,0,2,1,1,4,2,2,4,2,2,0,0,0,52,21,31,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,19,9,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,14,7,7,0,0,0,2,1,1,1,1,0
Michigan Jewish Institute,837,74,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,70,763,0,0,0,0,0,0,4,4,0,2,1,1,2,2,76,54,93,NA,NA,NA,NA,10700,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mid-America College of Funeral Service,58,28,30,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,52,25,27,4,3,1,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,10550,10550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mid-Atlantic Christian University,196,78,118,2,1,1,3,2,1,52,22,30,3,2,1,0,0,0,129,46,83,2,2,0,2,1,1,3,2,1,2,1,1,2,2,38,39,37,400,510,16,25,12800,12800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mid-South Christian College,21,16,5,0,0,0,0,0,0,3,2,1,3,3,0,0,0,0,11,9,2,0,0,0,0,0,0,4,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,4186,4186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Georgia State University,7927,3311,4616,20,9,11,186,104,82,2618,931,1687,271,126,145,10,5,5,4520,1993,2527,219,99,120,35,18,17,48,26,22,1,1,1,2,2,60,60,60,NA,NA,NA,NA,9919,3474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,146,248,1,1,0,22,12,10,125,38,87,13,4,9,2,2,0,212,84,128,12,3,9,3,2,1,4,0,4,83,49,34,0,0,0,2,2,0,20,11,9,4,2,2,1,0,1,50,31,19,3,2,1,3,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midland College,4618,1920,2698,11,5,6,105,48,57,277,117,160,2137,851,1286,6,0,6,1876,811,1065,72,31,41,129,54,75,5,3,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,5550,4380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,27,37,0,0,0,2,2,0,6,2,4,27,15,12,0,0,0,21,6,15,2,0,2,5,2,3,1,0,1,27,16,11,0,0,0,0,0,0,1,0,1,13,7,6,0,0,0,12,8,4,0,0,0,1,1,0,0,0,0,49,33,16,0,0,0,2,0,2,3,3,0,21,13,8,0,0,0,20,16,4,2,0,2,1,1,0,0,0,0
Midstate College,521,122,399,3,2,1,3,1,2,114,15,99,13,2,11,0,0,0,372,100,272,15,2,13,1,0,1,0,0,0,3,1,1,2,2,88,80,90,NA,NA,NA,NA,16230,16230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
